Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Roster Order
41852-8176,C,David,David Krejci,Krejci,6.37827,29,5600,NYI@BOS,BOS,NYI,,,,,2
41852-59218,W,David,David Pastrnak,Pastrnak,14.1613,35,8700,NYI@BOS,BOS,NYI,,,,,1
41852-70635,G,David,David Rittich,Rittich,21.3323,27,7800,MON@CGY,CGY,MON,,,,,
41852-12299,D,David,David Savard,Savard,7.318,34,3500,LA@CBJ,CBJ,LA,,,,,2
41852-62858,D,Dean,Dean Kukan,Kukan,5.04467,26,3500,LA@CBJ,CBJ,LA,,,,0,3
41852-70511,W,Denis,Denis Gurianov,Gurianov,3.6176,30,3500,DAL@TB,DAL,TB,,,,0,4
41852-82989,D,Dennis,Dennis Gilbert,Gilbert,7.57087,11,3500,CHI@WPG,CHI,WPG,,,,,2
41852-62927,C,Derek,Derek Ryan,Ryan,6.76193,36,3700,MON@CGY,CGY,MON,,,,,3
41852-12448,C,Derek,Derek Stepan,Stepan,6.3608,36,4700,MIN@ARI,ARI,MIN,,,,,3
41852-8294,C,Derick,Derick Brassard,Brassard,6.63713,32,4600,NYI@BOS,NYI,BOS,,,,,3
41852-8850,D,Deryk,Deryk Engelland,Engelland,4.49013,32,3700,VGK@VAN,VGK,VAN,,,,0,3
41852-8920,G,Devan,Devan Dubnyk,Dubnyk,14.1349,14,7500,MIN@ARI,MIN,ARI,,,,,
41852-70199,D,Devon,Devon Toews,Toews,6.83773,32,3900,NYI@BOS,NYI,BOS,,,,,3
41852-74086,W,Dillon,Dillon Dube,Dube,5.04333,14,3400,MON@CGY,CGY,MON,,,,,3
41852-42922,W,Dominik,Dominik Kubalik,Kubalik,5.7768,33,3600,CHI@WPG,CHI,WPG,,,,,1
41852-15356,DD,Dougie,Dougie Hamilton,Hamilton,12.9832,34,6400,CAR@COL,CAR,COL,,,,,1
41852-8406,DD,Drew,Drew Doughty,Doughty,8.4736,36,6000,LA@CBJ,LA,CBJ,,,,,1
41852-8266,D,Duncan,Duncan Keith,Keith,9.68053,26,4200,CHI@WPG,CHI,WPG,,,,,1
