Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Min Deviation,Max Deviation,Min Exposure,Max Exposure,Name,Min,Ur,Fd,Value
41843-41597,PF,Johnathan,Johnathan Motley,Motley,3.974999905,4,3500,HOU@LAC,LAC,HOU,,,,,,,0,,,,,
41843-110327,PG,Justin,Justin Wright-Foreman,Wright-Foreman,0,0,3500,UTA@ATL,UTA,ATL,,,,,,,0,,,,,
41843-117289,PF,Juwan,Juwan Morgan,Morgan,0.466666659,3,3500,UTA@ATL,UTA,ATL,,,,,,,0,,,,,
41843-110347,SF,Keldon,Keldon Johnson,Johnson,0,1,3500,BKN@SA,SA,BKN,,,,,,,0,,,,,
41843-15636,SG,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,15.88214329,28,3900,LAL@MIL,LAL,MIL,,,,,,,0,,,,,
41843-84725,PF,Kostas,Kostas Antetokounmpo,Antetokounmpo,0.600000024,2,3500,LAL@MIL,LAL,MIL,,,,,,,0,,,,,
41843-9870,SG,Kyle,Kyle Korver,Korver,10.33043505,23,3700,LAL@MIL,MIL,LAL,,,,,,,0,,,,,
41843-58377,PF,Kyle,Kyle Kuzma,Kuzma,16.75500031,20,3900,LAL@MIL,LAL,MIL,O,Ankle,,,,,0,,,,,
41843-14498,PG,Kyrie,Kyrie Irving,Irving,48.29999889,11,9200,BKN@SA,BKN,SA,O,Shoulder,,,,,0,,,,,
41843-84724,PG,Landry,Landry Shamet,Shamet,13.72499975,12,3600,HOU@LAC,LAC,HOU,,,,,,,0,,,,,
41843-84702,SG,Lonnie,Lonnie Walker,Walker,8.005263479,19,3500,BKN@SA,SA,BKN,,,,,,,0,,,,,
41843-110640,PF,Luka,Luka Samanic,Samanic,0,0,3500,BKN@SA,SA,BKN,,,,,,,0,,,,,
41843-9715,SG,Marco,Marco Belinelli,Belinelli,9.604166667,24,3500,BKN@SA,SA,BKN,,,,,,,0,,,,,
41843-16178,SF,Maurice,Maurice Harkless,Harkless,16.51034441,29,4000,HOU@LAC,LAC,HOU,,,,,,,0,,,,,
