Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Roster Order
41885-8765,W,Patric,Patric Hornqvist,Hornqvist,11.25,20,5500,PIT@EDM,PIT,EDM,IR,Lower body,,0,
41885-70487,W,Patrick,Patrick Russell,Russell,4.088888945,27,3000,PIT@EDM,EDM,PIT,,,,0,
41885-54028,G,Pheonix,Pheonix Copley,Copley,17.24444467,27,7000,WSH@NJ,WSH,NJ,,,,0,
41885-54193,W,Phillip,Phillip Di Giuseppe,Di Giuseppe,4.166666667,24,3000,TOR@NYR,NYR,TOR,,,,0,
41885-54577,W,Pontus,Pontus Aberg,Aberg,4.26666673,3,3000,TOR@NYR,TOR,NYR,,,,0,
41885-97176,D,Rasmus,Rasmus Sandin,Sandin,4.799999873,6,3500,TOR@NYR,TOR,NYR,,,,0,
41885-103095,W,Rhett,Rhett Gardner,Gardner,2,8,3000,DAL@FLA,DAL,FLA,,,,0,
41885-73987,D,Riley,Riley Stillman,Stillman,5.866666794,3,3500,DAL@FLA,FLA,DAL,,,,0,
41885-68649,D,Rob,Rob O'Gara,O'Gara,0,0,3500,DAL@FLA,FLA,DAL,,,,0,
41885-66693,G,Sam,Sam Montembeault,Montembeault,12,7,7000,DAL@FLA,FLA,DAL,,,,0,
41885-116887,W,Sam,Sam Poulin,Poulin,0,0,3000,PIT@EDM,PIT,EDM,,,,0,
