Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Roster Order
41885-15217,W,Jonathan,Jonathan Huberdeau,Huberdeau,14.26,33,7100,DAL@FLA,FLA,DAL,,,,,2
41885-42629,C,Joseph,Joseph Blandisi,Blandisi,3.7,14,3000,PIT@EDM,PIT,EDM,,,,0,3
41885-58685,W,Josh,Josh Archibald,Archibald,4.62,28,3300,PIT@EDM,EDM,PIT,,,,0,4
41885-43041,D,Josh,Josh Brown,Brown,4,28,3500,DAL@FLA,FLA,DAL,,,,0,3
41885-42906,W,Jujhar,Jujhar Khaira,Khaira,5.28,35,3300,PIT@EDM,EDM,PIT,,,,0,4
41885-42786,W,Justin,Justin Dowling,Dowling,1.34,22,3300,DAL@FLA,DAL,FLA,,,,0,
41885-59135,D,Justin,Justin Holl,Holl,6.01,33,3500,TOR@NYR,TOR,NYR,,,,0,2
41885-23228,D,Justin,Justin Schultz,Schultz,2.33,27,4000,PIT@EDM,PIT,EDM,O,Lower body,,0,
41885-84363,D,Juuso,Juuso Riikola,Riikola,5.01,12,3500,PIT@EDM,PIT,EDM,,,,0,3
41885-111471,W,Kaapo,Kaapo Kakko,Kakko,8.5,31,4800,TOR@NYR,NYR,TOR,,,,0,3
41885-58686,W,Kasperi,Kasperi Kapanen,Kapanen,9.47,35,3800,TOR@NYR,TOR,NYR,,,,,2
41885-9079,DD,Keith,Keith Yandle,Yandle,11.46,33,5700,DAL@FLA,FLA,DAL,,,,0,3
41885-8608,DD,Kris,Kris Letang,Letang,15.02,26,7200,PIT@EDM,PIT,EDM,,,,,1
41885-8310,D,Kris,Kris Russell,Russell,5.63,36,3500,PIT@EDM,EDM,PIT,,,,0,3
41885-12644,W,Kyle,Kyle Palmieri,Palmieri,11.32,33,6200,WSH@NJ,NJ,WSH,,,,,1
41885-9990,C,Lars,Lars Eller,Eller,9.52,35,4500,WSH@NJ,WSH,NJ,,,,0,3
41885-58331,W,Leon,Leon Draisaitl,Draisaitl,17.32,37,8800,PIT@EDM,EDM,PIT,,,,,2
41885-66744,G,MacKenzie,MacKenzie Blackwood,Blackwood,14.63,25,7200,WSH@NJ,NJ,WSH,,,,,
41885-43042,D,MacKenzie,MacKenzie Weegar,Weegar,7.48,25,3600,DAL@FLA,FLA,DAL,,,,0,1
41885-8528,D,Marc,Marc Staal,Staal,5.8,17,3500,TOR@NYR,NYR,TOR,,,,0,2
41885-62923,D,Marcus,Marcus Pettersson,Pettersson,6.69,34,3500,PIT@EDM,PIT,EDM,,,,,2
41885-12744,D,Mark,Mark Pysyk,Pysyk,0.9,24,3500,DAL@FLA,FLA,DAL,,,,0,4
41885-39356,W,Markus,Markus Granlund,Granlund,1.35,29,3000,PIT@EDM,EDM,PIT,,,,0,
41885-21735,D,Matt,Matt Tennyson,Tennyson,1.1,19,3500,WSH@NJ,NJ,WSH,IR,Upper body,,0,
41885-60686,W,Mattias,Mattias Janmark,Janmark,5.87,30,3800,DAL@FLA,DAL,FLA,,,,0,2
41885-70910,C,Michael,Michael McLeod,McLeod,4.24,3,3000,WSH@NJ,NJ,WSH,,,,0,4
41885-70579,D,Michal,Michal Kempny,Kempny,8.18,27,3600,WSH@NJ,WSH,NJ,,,,0,1
41885-14565,C,Mika,Mika Zibanejad,Zibanejad,15.96,20,7800,TOR@NYR,NYR,TOR,,,,,1
41885-9259,W,Mike,Mike Hoffman,Hoffman,11.66,33,5600,DAL@FLA,FLA,DAL,,,,0,3
41885-62277,D,Mike,Mike Matheson,Matheson,6.49,27,3900,DAL@FLA,FLA,DAL,,,,0,2
41885-8672,G,Mike,Mike Smith,Smith,15.89,18,7200,PIT@EDM,EDM,PIT,,,,,
41885-70118,W,Miles,Miles Wood,Wood,6.45,33,3300,WSH@NJ,NJ,WSH,,,,0,4
41885-43167,D,Mirco,Mirco Mueller,Mueller,4.27,20,3500,WSH@NJ,NJ,WSH,,,,0,3
41885-82174,D,Miro,Miro Heiskanen,Heiskanen,9.42,36,4900,DAL@FLA,DAL,FLA,,,,,2
41885-66683,W,Mitchell,Mitchell Marner,Marner,16.3,24,7400,TOR@NYR,TOR,NYR,,,,,1
41885-37881,D,Morgan,Morgan Rielly,Rielly,12.65,35,5000,TOR@NYR,TOR,NYR,,,,,1
41885-54478,C,Nic,Nic Dowd,Dowd,2.9,23,3200,WSH@NJ,WSH,NJ,,,,0,4
41885-39710,D,Nick,Nick Jensen,Jensen,4.96,35,3500,WSH@NJ,WSH,NJ,,,,0,2
41885-8714,C,Nicklas,Nicklas Backstrom,Backstrom,13.37,27,6700,WSH@NJ,WSH,NJ,,,,,1
41885-80991,C,Nico,Nico Hischier,Hischier,10.55,28,5400,WSH@NJ,NJ,WSH,,,,,1
41885-103524,W,Nikita,Nikita Gusev,Gusev,7.82,30,4200,WSH@NJ,NJ,WSH,,,,,2
41885-62861,W,Noel,Noel Acciari,Acciari,6.74,30,3800,DAL@FLA,FLA,DAL,,,,0,2
41885-42912,DD,Oscar,Oscar Klefbom,Klefbom,13.38,37,6000,PIT@EDM,EDM,PIT,,,,,1
41885-9107,D,P.K.,P.K. Subban,Subban,7.96,33,3800,WSH@NJ,NJ,WSH,,,,,1
41885-70513,W,Pavel,Pavel Buchnevich,Buchnevich,8.78,33,4400,TOR@NYR,NYR,TOR,,,,,2
41885-65970,W,Pavel,Pavel Zacha,Zacha,5.79,30,3300,WSH@NJ,NJ,WSH,,,,0,3
41885-84346,W,Pierre,Pierre Engvall,Engvall,5.76,13,3200,TOR@NYR,TOR,NYR,,,,0,3
41885-23928,C,Radek,Radek Faksa,Faksa,7.43,36,3400,DAL@FLA,DAL,FLA,,,,0,3
41885-12613,D,Radko,Radko Gudas,Gudas,6.28,35,3500,WSH@NJ,WSH,NJ,,,,0,3
41885-9002,W,Richard,Richard Panik,Panik,5.92,25,3300,WSH@NJ,WSH,NJ,,,,0,3
41885-21921,C,Riley,Riley Sheahan,Sheahan,4.09,32,3100,PIT@EDM,EDM,PIT,,,,0,4
41885-8650,D,Roman,Roman Polak,Polak,5.59,17,3500,DAL@FLA,DAL,FLA,,,,0,3
41885-80286,C,Roope,Roope Hintz,Hintz,7.76,29,5200,DAL@FLA,DAL,FLA,,,,,2
41885-82755,D,Ryan,Ryan Lindgren,Lindgren,5.59,23,3600,TOR@NYR,NYR,TOR,,,,0,3
41885-14563,C,Ryan,Ryan Nugent-Hopkins,Nugent-Hopkins,11.74,31,6000,PIT@EDM,EDM,PIT,,,,,1
41885-15386,C,Ryan,Ryan Strome,Strome,8.89,33,5400,TOR@NYR,NYR,TOR,,,,,2
41885-8356,W,Sam,Sam Gagner,Gagner,6.81,19,3500,PIT@EDM,EDM,PIT,,,,,2
41885-82796,W,Sam,Sam Lafferty,Lafferty,5.41,27,3100,PIT@EDM,PIT,EDM,,,,0,3
41885-14474,D,Sami,Sami Vatanen,Vatanen,9.52,29,4600,WSH@NJ,NJ,WSH,,,,,2
41885-12163,G,Sergei,Sergei Bobrovsky,Bobrovsky,17.74,27,8100,DAL@FLA,FLA,DAL,,,,,
41885-8635,W,T.J.,T.J. Oshie,Oshie,12.85,35,6800,WSH@NJ,WSH,NJ,,,,,2
41885-68623,C,Teddy,Teddy Blueger,Blueger,6.1,34,3500,PIT@EDM,PIT,EDM,,,,0,4
41885-23226,W,Tom,Tom Wilson,Wilson,11.36,35,4400,WSH@NJ,WSH,NJ,,,,,1
41885-58928,D,Tony,Tony DeAngelo,DeAngelo,9.84,33,4400,TOR@NYR,NYR,TOR,,,,,2
41885-62275,W,Travis,Travis Boyd,Boyd,6.04,17,3200,WSH@NJ,WSH,NJ,,,,0,
41885-66682,D,Travis,Travis Dermott,Dermott,6.3,22,3500,TOR@NYR,TOR,NYR,,,,0,3
41885-8475,C,Travis,Travis Zajac,Zajac,6.05,33,3400,WSH@NJ,NJ,WSH,,,,0,2
41885-42868,G,Tristan,Tristan Jarry,Jarry,17.64,15,8400,PIT@EDM,PIT,EDM,,,,,
41885-12417,C,Tyler,Tyler Seguin,Seguin,14.7,36,7400,DAL@FLA,DAL,FLA,,,,,1
41885-13981,D,Tyson,Tyson Barrie,Barrie,11.12,35,4700,TOR@NYR,TOR,NYR,,,,,1
41885-15283,C,Vincent,Vincent Trocheck,Trocheck,9.68,26,5200,DAL@FLA,FLA,DAL,,,,,2
41885-8404,W,Wayne,Wayne Simmonds,Simmonds,7.69,33,3600,WSH@NJ,NJ,WSH,,,,0,3
41885-82075,D,Will,Will Butcher,Butcher,6.9,31,3700,WSH@NJ,NJ,WSH,,,,,2
41885-59276,W,William,William Nylander,Nylander,11.71,35,5300,TOR@NYR,TOR,NYR,,,,,2
41885-79820,W,Zach,Zach Aston-Reese,Aston-Reese,6.67,34,3300,PIT@EDM,PIT,EDM,,,,0,2
41885-12609,W,Zach,Zach Hyman,Hyman,10.22,16,4400,TOR@NYR,TOR,NYR,,,,,1
41885-11152,W,Zack,Zack Kassian,Kassian,8.55,34,4700,PIT@EDM,EDM,PIT,,,,0,1
41885-74145,C,Adam,Adam Brooks,Brooks,0,0,3000,TOR@NYR,TOR,NYR,,,,0,
41885-82144,W,Adam,Adam Johnson,Johnson,4.685714177,7,3000,PIT@EDM,PIT,EDM,,,,0,
41885-68602,C,Aleksi,Aleksi Saarela,Saarela,2.133333365,3,3000,DAL@FLA,FLA,DAL,,,,0,
41885-62869,W,Andreas,Andreas Johnsson,Johnsson,9.36333313,30,5000,TOR@NYR,TOR,NYR,IR,Leg,,0,
41885-62724,W,Andreas,Andreas Martinsen,Martinsen,3.5,24,3000,PIT@EDM,PIT,EDM,,,,0,
41885-42628,W,Andrew,Andrew Agozzino,Agozzino,0,1,3000,PIT@EDM,PIT,EDM,,,,0,
41885-73983,W,Anthony,Anthony Greco,Greco,3.200000048,1,3000,DAL@FLA,FLA,DAL,,,,0,
41885-116896,C,Anthony,Anthony Nellis,Nellis,0,0,3000,DAL@FLA,DAL,FLA,,,,0,
